name,model,tag,category,keep,shift_needed_2h,scenario1
DE1_id_balance_to_DE2_285to300,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_285to300,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_285to300,DE1,input,balance,yes,,x
DE1_id_trade_to_self_285to300,DE1,input,balance,yes,,x
DE1_id_balance_270to285,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_270to285,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_270to285,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_270to285,DE1,input,balance,yes,,x
DE1_id_trade_to_self_270to285,DE1,input,balance,yes,,x
DE1_id_balance_255to270,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_255to270,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_255to270,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_255to270,DE1,input,balance,yes,,x
DE1_id_trade_to_self_255to270,DE1,input,balance,yes,,x
DE1_id_balance_240to255,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_240to255,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_240to255,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_240to255,DE1,input,balance,yes,,x
DE1_id_trade_to_self_240to255,DE1,input,balance,yes,,x
DE1_id_balance_225to240,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_225to240,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_225to240,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_225to240,DE1,input,balance,yes,,x
DE1_id_trade_to_self_225to240,DE1,input,balance,yes,,x
DE1_id_balance_210to225,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_210to225,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_210to225,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_210to225,DE1,input,balance,yes,,x
DE1_id_trade_to_self_210to225,DE1,input,balance,yes,,x
DE1_id_balance_195to210,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_195to210,DE1,input,balance,yes,,x
DE1_id_balance_to_DE3_195to210,DE1,input,balance,yes,,x
DE1_id_balance_to_DE4_195to210,DE1,input,balance,yes,,x
DE1_id_trade_to_self_195to210,DE1,input,balance,yes,,x
DE1_id_balance_180to195,DE1,input,balance,yes,,x
DE1_id_balance_to_DE2_180to195,DE1,input,balance,yes,,x
